TipoMaturità,VotoDiploma,CFU1,AnniFuoriCorso
11.0,87.0,51,1.0
11.0,84.0,60,1.0
11.0,86.0,60,1.0
11.0,100.0,60,1.0
11.0,87.0,60,1.0
11.0,90.0,60,1.0
11.0,100.0,60,1.0
11.0,100.0,60,1.0
11.0,95.0,42,1.0
13.0,90.0,18,1.0
11.0,100.0,60,1.0
13.0,64.0,30,1.0
11.0,82.0,60,1.0
11.0,90.0,60,1.0
11.0,90.0,60,1.0
13.0,65.0,60,1.0
13.0,89.0,48,1.0
11.0,100.0,60,1.0
5.0,100.0,60,1.0
11.0,100.0,60,1.0
11.0,87.0,42,1.0
11.0,98.0,54,1.0
11.0,93.0,60,1.0
12.0,71.0,27,1.0
11.0,100.0,60,1.0
11.0,72.0,39,1.0
11.0,77.0,48,1.0
11.0,100.0,60,1.0
11.0,100.0,60,1.0
2.0,81.0,48,1.0
11.0,100.0,60,1.0
11.0,100.0,60,1.0
11.0,100.0,60,1.0
11.0,95.0,60,1.0
5.0,88.0,60,1.0
11.0,76.0,18,1.0
11.0,62.0,33,1.0
11.0,98.0,48,1.0
11.0,69.0,39,1.0
11.0,83.0,60,1.0
6.0,78.0,39,1.0
11.0,96.0,60,1.0
11.0,100.0,60,1.0
11.0,85.0,48,1.0
11.0,100.0,60,1.0
11.0,87.0,48,1.0
11.0,100.0,60,1.0
11.0,100.0,60,1.0
11.0,75.0,60,1.0
11.0,100.0,60,1.0
11.0,95.0,60,1.0
11.0,96.0,39,1.0
13.0,86.0,60,1.0
11.0,96.0,60,1.0
11.0,98.0,60,1.0
10.0,100.0,60,1.0
5.0,100.0,60,1.0
11.0,85.0,60,1.0
11.0,86.0,39,1.0
