Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC
110,A523,?,?,?,?,06122,L2,2011,1,2011,65,SAPS170004,Scientifica,?,?,0,0,Cessato,Rinuncia,0
111,A853,?,?,?,0,06122,L2,2011,2,2010,76,SAPS18000P,Scientifica,?,?,0,0,Cessato,Decadenza,0
112,A4941,15,?,?,15,06122,L2,2011,2,2010,73,SAPC12000X,Classica,?,?,0,0,Cessato,Rinuncia,0
113,A1445,?,?,?,0,06122,L2,2011,1,2011,70,NAPS01901L,Scientifica,?,?,0,0,Cessato,Rinuncia,0
114,A2841,15,?,?,15,06122,L2,2011,1,2011,86,SAPS18000P,Scientifica,?,?,0,0,Cessato,Rinuncia,0
115,A4653,60,54,63,177,06122,L2,2012,3,2012,88,NAPC19000Q,Scientifica,2015,111,0,0,Cessato,Laureato,1
116,A2495,54,60,66,180,06122,L2,2012,3,2012,100,SAPS070007,Scientifica,2014,105,0,0,Cessato,Laureato,0
117,A1829,48,48,48,144,06122,L2,2012,3,2012,100,AVPS12000T,Scientifica,2015,104,0,0,Cessato,Laureato,1
118,A673,54,42,63,159,06122,L2,2012,3,2012,95,PZPM00201E,Scientifica,2015,102,0,0,Cessato,Laureato,1
119,A3460,27,27,42,96,06122,L2,2012,3,2011,75,AVPC02000T,Scientifica,2016,104,0,0,Cessato,Laureato,2
120,A2002,45,18,9,72,06122,L2,2012,3,2007,76,NATL00500X,Classica,2017,99,0,0,Cessato,Laureato,3
121,A3687,?,?,?,0,06122,L2,2012,1,2012,74,AVPS12000T,Scientifica,?,?,0,0,Cessato,Rinuncia,0
122,A4097,39,39,57,135,06122,L2,2012,3,2012,87,SATD040007,Tecnico,2016,91,0,0,Cessato,Laureato,2
123,A3944,33,45,39,117,06122,L2,2012,3,2012,85,SATF06000P,Tecnico,2017,101,0,0,Cessato,Laureato,3
124,A204,?,?,?,0,06122,L2,2012,1,2011,92,NAPC19000Q,Scientifica,?,?,0,0,Cessato,Rinuncia,0
125,A789,33,33,42,108,06122,L2,2012,3,2012,74,BNPS00401X,Scientifica,2017,92,0,0,Cessato,Laureato,3
126,A1805,54,30,39,123,06122,L2,2012,3,2011,91,SAPM020007,Linguistico,2016,105,0,0,Cessato,Laureato,2
127,A2986,48,48,51,147,06122,L2,2012,3,2012,90,SAPS120003,Scientifica,2015,104,0,0,Cessato,Laureato,1
128,A1571,60,60,60,180,06122,L2,2012,3,2012,100,SAPC040008,Classica,2014,111,0,0,Cessato,Laureato,0
