'Matr','CF','1','2','3','tot','CDS','Tipo_CDS','Coorte','Anni_Carriera','ANNO_DIPLOMA','VOTO_DIPLOMA','CODICE_MECCANOGRAFICO','TIPO_MATURITA','ANNO_ACCADEMICO_LAUREA','VOTO_LAUREA','Erasmus','TESI_ESTERO','STATO_STUDENTE','MOTIVO_STATO_STUDENTE','FC','CLASSE'
324,2683,24,18,18,60,612,3,2014,3,2014,91,279,'Classica',0,0,0,0,'Attivo','Immatricolazione',1,5
325,4396,54,48,63,165,612,3,2014,3,2014,86,254,'Scientifica',2017,104,0,0,'Cessato','Laureato',1,11
326,918,60,60,60,180,612,3,2014,3,2014,100,157,'Tecnico',2016,111,0,0,'Cessato','Laureato',0,13
327,4591,54,36,90,180,612,3,2014,3,2014,81,35,'Scientifica',2016,100,0,0,'Cessato','Laureato',0,11
328,2490,42,42,-1,84,612,3,2014,3,2014,85,285,'Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',1,7
329,2343,60,60,60,180,612,3,2014,3,2014,100,300,'Scientifica',2016,111,0,0,'Cessato','Laureato',0,11
331,2116,54,54,72,180,612,3,2014,3,2014,100,11,'Scientifica',2016,107,0,0,'Cessato','Laureato',0,11
334,1546,48,30,12,90,612,3,2014,3,2014,88,60,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
335,1623,48,24,36,108,612,3,2014,3,2014,80,35,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
336,2376,54,48,78,180,612,3,2014,3,2014,89,91,'Classica',2016,106,0,0,'Cessato','Laureato',0,5
337,3295,36,48,18,102,612,3,2014,3,2014,100,246,'Scientifica',0,0,0,0,'Attivo','Immatricolazione',1,11
338,3545,54,54,51,159,612,3,2014,3,2013,100,273,'Scientifica',2017,104,0,0,'Cessato','Laureato',1,11
339,3563,48,42,51,141,612,3,2014,3,2014,100,119,'Classica',2017,102,0,0,'Cessato','Laureato',1,5
