"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[""'Tecnico'"", 100, 1060]"
"[""'Scientifica'"", 94, 1060]"
"[""'Scientifica'"", 77, 1048]"
"[""'Scientifica'"", 94, 1054]"
"[""'Scientifica'"", 95, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 88, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 71, 1054]"
"[""'Scientifica'"", 91, 1054]"
"[""'Scientifica'"", 85, 1042]"
"[""'Scientifica'"", 93, 1054]"
"[""'Scientifica'"", 96, 1060]"
"[""'Scientifica'"", 88, 1054]"
"[""'Scientifica'"", 94, 1036]"
"[""'Scientifica'"", 93, 1042]"
"[""'Tecnico'"", 84, 1042]"
"[""'Scientifica'"", 86, 1015]"
"[""'Scientifica'"", 80, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 89, 1060]"
"[""'Scientifica'"", 86, 1024]"
"[""'Scientifica'"", 100, 1054]"
"[""'Scientifica'"", 70, 1009]"
"[""'Scientifica'"", 72, 1018]"
"[""'Scientifica'"", 77, 1054]"
"[""'Classica'"", 82, 1048]"
"[""'Scientifica'"", 95, 1060]"
"[""'Scientifica'"", 98, 1033]"
"[""'Socio-Psico-Pedagogico'"", 81, 1024]"
"[""'Tecnico'"", 95, 1042]"
"[""'Socio-Psico-Pedagogico'"", 92, 1033]"
"[""'Scientifica'"", 83, 1048]"
"[""'Scientifica'"", 87, 1042]"
"[""'Classica'"", 95, 1045]"
"[""'Scientifica'"", 74, 1042]"
"[""'Tecnico'"", 100, 1039]"
"[""'Classica'"", 100, 1042]"
"[""'Scientifica'"", 89, 1033]"
"[""'Classica'"", 67, 1027]"
"[""'Classica'"", 100, 1018]"
"[""'Scientifica'"", 91, 1048]"
"[""'Scientifica'"", 100, 1060]"
"[""'Classica'"", 81, 1033]"
"[""'Classica'"", 93, 1048]"
"[""'Classica'"", 100, 1060]"
"[""'Linguistico'"", 100, 1060]"
"[""'Scientifica'"", 50, 1135]"
"[""'Scientifica'"", 88, 1036]"
"[""'Scientifica'"", 86, 1042]"
"[""'Liceo-Europeo'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 87, 1051]"
"[""'Scientifica'"", 84, 1060]"
"[""'Scientifica'"", 86, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 87, 1060]"
"[""'Scientifica'"", 90, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 100, 1060]"
"[""'Scientifica'"", 95, 1042]"
"[""'Tecnico'"", 90, 1018]"
