"Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC"
"[4340, 'A4737', 12, 51, 35, 98, '06222', 2, 2013, 2, 2006, 100, 'SAPS020006', 'Scientifica', 2016, 100, 1, 1, 'Cessato', 'Laureato', 2]"
"[4341, 'A2658', 24, 48, 23, 95, '06222', 2, 2013, 2, 2008, 94, 'SAPS18000P', 'Scientifica', 2017, 108, 1, 1, 'Cessato', 'Laureato', 3]"
"[4342, 'A3451', 18, 6, 27, 51, '06222', 2, 2013, 2, 2007, 96, 'SAPS120003', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 4]"
"[4343, 'A4405', 33, 24, 45, 102, '06222', 2, 2013, 2, 2007, 98, 'SAPC12000X', 'Classica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 2]"
"[4344, 'A3735', 39, 63, 18, 120, '06222', 2, 2014, 2, 2010, 86, 'NAPS110002', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4345, 'A2108', 39, 81, 0, 120, '06222', 2, 2014, 2, 2010, 86, 'NAPS110002', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4346, 'A1836', 51, 69, 0, 120, '06222', 2, 2014, 2, 2010, 91, 'SAPS09000C', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4347, 'A3341', 51, 69, 0, 120, '06222', 2, 2014, 2, 2008, 100, 'SAPS09000C', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4348, 'A4597', 27, 33, 0, 60, '06222', 2, 2014, 2, 2007, 100, 'SATE06901B', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 3]"
"[4349, 'A1728', 51, 69, 0, 120, '06222', 2, 2014, 2, 2010, 93, 'SAPS09000C', 'Scientifica', 2015, 107, 0, 0, 'Cessato', 'Laureato', 0]"
"[4350, 'A3674', 51, 69, 0, 120, '06222', 2, 2014, 2, 2010, 86, 'SAPS020006', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4351, 'A4604', 39, 51, 30, 120, '06222', 2, 2014, 2, 2008, 82, 'SAPS10000T', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4352, 'A1046', 39, 21, 6, 66, '06222', 2, 2014, 2, 2006, 92, 'SAPS01000G', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 3]"
"[4353, 'A2898', 33, 57, 30, 120, '06222', 2, 2014, 2, 2009, 100, 'SAPS020006', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4354, 'A2830', 57, 63, 0, 120, '06222', 2, 2014, 2, 2010, 89, 'SAPC05000V', 'Classica', 2015, 109, 0, 0, 'Cessato', 'Laureato', 0]"
"[4355, 'A1499', 33, 45, 42, 120, '06222', 2, 2014, 2, 2010, 86, 'SATF06000P', 'Tecnici-Industriali', 2016, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4356, 'A2850', 51, 69, 0, 120, '06222', 2, 2014, 2, 2011, 100, 'SAPS18000P', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4357, 'A4869', 57, 63, 0, 120, '06222', 2, 2014, 2, 2011, 100, 'NAPS12001N', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4358, 'A2669', 33, 27, 18, 78, '06222', 2, 2014, 2, 2006, 98, 'SAPC10000P', 'Scientifica', 2018, 110, 0, 0, 'Cessato', 'Laureato', 3]"
"[4359, 'A4089', 45, 75, 0, 120, '06222', 2, 2014, 2, 2008, 88, 'AVPM040007', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4360, 'A4588', 45, 75, 0, 120, '06222', 2, 2014, 2, 2010, 100, 'SAPS120003', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4361, 'A4891', 45, 57, 18, 120, '06222', 2, 2014, 2, 2010, 88, 'AVPS03000G', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4362, 'A1709', 51, 69, 0, 120, '06222', 2, 2014, 2, 2011, 100, 'SAPS04000B', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4363, 'A1633', 27, 63, 30, 120, '06222', 2, 2014, 2, 2011, 100, 'SAPC12000X', 'Classica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4364, 'A4055', 33, 51, 36, 120, '06222', 2, 2014, 2, 2010, 90, 'SAPS04000B', 'Scientifica', 2016, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4365, 'A4617', 33, 87, 0, 120, '06222', 2, 2014, 2, 2011, 100, 'SAPC00101P', 'Scientifica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4366, 'A1439', 33, 45, 35, 113, '06222', 2, 2014, 2, 2010, 95, 'SATF08000X', 'Tecnici-Industriali', 0, 0, 1, 0, 'Attivo', 'Immatricolazione', 2]"
"[4367, 'A20', 6, 0, 0, 6, '06222', 2, 2014, 2, 2005, 92, 'SAPS02401E', 'Scientifica', 0, 0, 0, 0, 'Cessato', 'Decadenza', 0]"
"[4368, 'A2492', 51, 51, 33, 135, '06222', 2, 2014, 2, 2011, 100, 'AVPS02701R', 'Scientifica', 2016, 111, 1, 0, 'Cessato', 'Laureato', 1]"
"[4369, 'A1125', 6, 0, 0, 6, '06222', 2, 2014, 2, 2009, 100, 'SAPS120003', 'Scientifica', 0, 0, 0, 0, 'Cessato', 'Rinuncia', 0]"
"[4370, 'A654', 39, 63, 18, 120, '06222', 2, 2014, 2, 2011, 100, 'BNPC01101X', 'Classica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4371, 'A4743', 51, 69, 0, 120, '06222', 2, 2014, 2, 2011, 97, 'AVPC05000N', 'Classica', 2015, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4372, 'A3446', 45, 57, 18, 120, '06222', 2, 2014, 2, 2011, 100, 'AVPS12000T', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4373, 'A1992', 51, 69, 0, 120, '06222', 2, 2015, 2, 2012, 95, 'CSPS024019', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4374, 'A834', 57, 63, 0, 120, '06222', 2, 2015, 2, 2012, 100, 'KRPS040001', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4375, 'A782', 33, 45, 48, 126, '06222', 2, 2015, 2, 2009, 84, 'SAPS020006', 'Scientifica', 2017, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4376, 'A2644', 51, 69, 0, 120, '06222', 2, 2015, 2, 2011, 85, 'SATF06000P', 'Professionale-Industriale', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4377, 'A2678', 33, 45, 42, 120, '06222', 2, 2015, 2, 2008, 90, 'SAPM020007', 'Scientifica', 2017, 104, 0, 0, 'Cessato', 'Laureato', 1]"
"[4378, 'A4262', 33, 51, 36, 120, '06222', 2, 2015, 2, 2010, 60, 'SAPS15000V', 'Scientifica', 2017, 107, 0, 0, 'Cessato', 'Laureato', 1]"
"[4379, 'A484', 39, 63, 18, 120, '06222', 2, 2015, 2, 2010, 100, 'SAPS08000T', 'Scientifica', 2017, 110, 0, 0, 'Cessato', 'Laureato', 1]"
"[4380, 'A2861', 27, 51, 42, 120, '06222', 2, 2015, 2, 2008, 100, 'AVPS06000B', 'Scientifica', 2017, 106, 0, 0, 'Cessato', 'Laureato', 1]"
"[4381, 'A1411', 51, 69, 0, 120, '06222', 2, 2015, 2, 2011, 100, 'SAPC05000V', 'Linguistico', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4382, 'A3285', 51, 51, 18, 120, '06222', 2, 2015, 2, 2010, 100, 'SAPS04000B', 'Scientifica', 2017, 110, 0, 0, 'Cessato', 'Laureato', 1]"
"[4383, 'A2339', 45, 57, 18, 120, '06222', 2, 2015, 2, 2009, 100, 'SATA06701T', 'Agrario', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4384, 'A2803', 51, 45, 24, 120, '06222', 2, 2015, 2, 2009, 93, 'SAPC12000X', 'Classica', 2017, 109, 0, 0, 'Cessato', 'Laureato', 1]"
"[4385, 'A3998', 33, 45, 42, 120, '06222', 2, 2015, 2, 2011, 100, 'SAPS09000C', 'Scientifica', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4386, 'A2931', 51, 69, 0, 120, '06222', 2, 2015, 2, 2011, 100, 'NAPS12000L', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4387, 'A2721', 51, 39, 30, 120, '06222', 2, 2015, 2, 2010, 100, 'SAPS020006', 'Scientifica', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4388, 'A4126', 51, 69, 0, 120, '06222', 2, 2015, 2, 2011, 100, 'NAPS160003', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4389, 'A401', 33, 24, 21, 78, '06222', 2, 2015, 2, 2011, 95, 'SAPS08000T', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 2]"
"[4390, 'A4354', 33, 87, 0, 120, '06222', 2, 2015, 2, 2011, 100, 'AVPS12000T', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4391, 'A639', 57, 63, 0, 120, '06222', 2, 2015, 2, 2012, 100, 'RCPS060002', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4392, 'A3855', 51, 69, 0, 120, '06222', 2, 2015, 2, 2012, 100, 'SAPS09000C', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4393, 'A3112', 21, 51, 35, 107, '06222', 2, 2015, 2, 2009, 81, 'AVIS014008', 'Scientifica', 0, 0, 1, 1, 'Attivo', 'Immatricolazione', 2]"
"[4394, 'A4794', 27, 45, 48, 120, '06222', 2, 2015, 2, 2009, 89, 'NAPS160003', 'Scientifica', 2017, 105, 0, 0, 'Cessato', 'Laureato', 1]"
"[4395, 'A193', 39, 57, 24, 120, '06222', 2, 2015, 2, 2012, 98, 'SAPS120003', 'Scientifica', 2017, 111, 1, 1, 'Cessato', 'Laureato', 1]"
"[4396, 'A1614', 21, 45, 30, 96, '06222', 2, 2015, 2, 2008, 72, 'SAPS02401E', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 2]"
"[4397, 'A4607', 21, 60, 39, 120, '06222', 2, 2015, 2, 2011, 70, 'SAPC040008', 'Classica', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4398, 'A2998', 21, 51, 24, 96, '06222', 2, 2015, 2, 2010, 100, 'SAPS120003', 'Scientifica', 0, 0, 0, 0, 'Attivo', 'Immatricolazione', 2]"
"[4399, 'A4782', 0, 0, 0, 0, '06222', 2, 2015, 1, 2010, 90, 'SAPS03000R', 'Scientifica', 0, 0, 0, 0, 'Cessato', 'Errata-Immatricolazione', 0]"
"[4400, 'A1571', 39, 45, 36, 120, '06222', 2, 2015, 2, 2012, 100, 'SAPC040008', 'Classica', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
"[4402, 'A2258', 27, 93, 0, 120, '06222', 2, 2015, 2, 2012, 100, 'SAPC10000P', 'Scientifica', 2016, 111, 0, 0, 'Cessato', 'Laureato', 0]"
"[4403, 'A3553', 33, 63, 24, 120, '06222', 2, 2015, 2, 2012, 100, 'SAPS18000P', 'Scientifica', 2017, 106, 0, 0, 'Cessato', 'Laureato', 1]"
"[4404, 'A1955', 27, 75, 18, 120, '06222', 2, 2015, 2, 2012, 100, 'SAPS10000T', 'Scientifica', 2017, 111, 0, 0, 'Cessato', 'Laureato', 1]"
