Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
1384,'A3538',54,57,69,180,'06123',3,2014,3,2014,100,'SAPS15000V','Scientifica',2016,111,0,0,'Cessato','Laureato',0,3
1385,'A1155',30,27,30,87,'06123',3,2014,3,2014,80,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1386,'A1922',54,57,69,180,'06123',3,2014,3,2014,84,'SAPS05701T','Scientifica',2016,104,0,0,'Cessato','Laureato',0,3
1387,'A702',36,18,54,108,'06123',3,2014,3,2014,82,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1388,'A3510',42,21,-1,63,'06123',3,2014,2,2014,100,'CBPS01000B','Scientifica',0,0,0,0,'Cessato','Rinuncia',0,3
1389,'A1327',15,-1,-1,15,'06123',3,2014,3,2014,88,'SATF04000D','Tecnico',0,0,0,0,'Cessato','Rinuncia',2,2
1391,'A329',30,21,48,99,'06123',3,2014,3,2014,93,'SAPS120003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1392,'A135',6,-1,-1,6,'06123',3,2014,1,2014,62,'AVPM040007','Socio-Psico-Pedagogico',0,0,0,0,'Cessato','Decadenza',0,1
1393,'A907',36,36,18,90,'06123',3,2014,3,2014,64,'?','Scientifica',0,0,0,1,'Attivo','Immatricolazione',2,3
1394,'A3691',9,9,6,24,'06123',3,2014,3,2014,64,'SAPS04000B','Scientifica',0,0,0,0,'Cessato','Rinuncia',2,3
1395,'A4663',54,57,69,180,'06123',3,2014,3,2014,100,'AVPS12000T','Scientifica',2016,111,0,0,'Cessato','Laureato',0,3
1396,'A852',54,57,69,180,'06123',3,2014,3,2014,86,'SAPS18000P','Scientifica',2016,101,0,0,'Cessato','Laureato',0,3
1397,'A3925',48,33,72,153,'06123',3,2014,3,2014,100,'SAPS020006','Scientifica',2017,98,0,0,'Cessato','Laureato',1,3
1398,'A3717',48,33,60,141,'06123',3,2014,3,2014,97,'SAPS05701T','Scientifica',2017,100,0,0,'Cessato','Laureato',1,3
1399,'A2231',15,30,18,63,'06123',3,2014,3,2014,89,'AVPS06000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1401,'A1373',15,-1,-1,15,'06123',3,2014,3,2014,70,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1402,'A2794',42,6,48,96,'06123',3,2014,3,2014,68,'SAPS170004','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
1403,'A3243',9,45,45,99,'06123',3,2014,3,2014,90,'NAPS03901T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',2,3
