Matr,CF,1,2,3,tot,CDS,Tipo_CDS,Coorte,Anni_Carriera,ANNO_DIPLOMA,VOTO_DIPLOMA,CODICE_MECCANOGRAFICO,TIPO_MATURITA,ANNO_ACCADEMICO_LAUREA,VOTO_LAUREA,Erasmus,TESI_ESTERO,STATO_STUDENTE,MOTIVO_STATO_STUDENTE,FC,CLASSE
2272,'A4945',26,-1,-1,26,'06123',3,2018,1,2018,81,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2273,'A2857',26,-1,-1,26,'06123',3,2018,1,2018,80,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2274,'A1304',35,-1,-1,35,'06123',3,2018,1,2018,100,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2275,'A167',35,-1,-1,35,'06123',3,2018,1,2018,93,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2276,'A3508',26,-1,-1,26,'06123',3,2018,1,2018,80,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2277,'A2189',35,-1,-1,35,'06123',3,2018,1,2018,98,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2278,'A2667',8,-1,-1,8,'06123',3,2018,1,2017,72,'SATF04101A','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2279,'A2870',35,-1,-1,35,'06123',3,2018,1,2018,98,'SAPS04000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2280,'A3263',35,-1,-1,35,'06123',3,2018,1,2018,89,'SAPS08000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2281,'A3497',35,-1,-1,35,'06123',3,2018,1,2018,75,'AVPS003018','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2282,'A3048',35,-1,-1,35,'06123',3,2018,1,2018,100,'SATF04000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2283,'A2060',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2284,'A545',32,-1,-1,32,'06123',3,2018,1,2018,87,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2285,'A2363',11,-1,-1,11,'06123',3,2018,1,2018,85,'SATF08000X','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2286,'A3584',35,-1,-1,35,'06123',3,2018,1,2018,86,'AVPS12000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2287,'A2278',35,-1,-1,35,'06123',3,2018,1,2018,91,'SAPS02401E','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2288,'A3648',35,-1,-1,35,'06123',3,2018,1,2018,80,'PZPS00102P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2289,'A2433',26,-1,-1,26,'06123',3,2018,1,2018,86,'SAPS01000G','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2290,'A3188',35,-1,-1,35,'06123',3,2018,1,2018,96,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2291,'A2900',41,-1,-1,41,'06123',3,2018,1,2017,100,'SATF04401T','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
2292,'A2482',26,-1,-1,26,'06123',3,2018,1,2018,100,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2293,'A4000',20,-1,-1,20,'06123',3,2018,1,2018,66,'PZPS00101N','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',0,1
2294,'A4809',35,-1,-1,35,'06123',3,2018,1,2018,86,'AVPS06000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2295,'A4194',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS18000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2296,'A500',14,-1,-1,14,'06123',3,2018,1,2018,79,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2297,'A279',32,-1,-1,32,'06123',3,2018,1,2018,100,'NAPS06301P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2298,'A229',35,-1,-1,35,'06123',3,2018,1,2018,75,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2299,'A850',32,-1,-1,32,'06123',3,2018,1,2018,100,'NAPS24000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2300,'A4821',32,-1,-1,32,'06123',3,2018,1,2018,96,'NAPS01901L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2301,'A230',32,-1,-1,32,'06123',3,2018,1,2018,91,'SAPC00101P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2302,'A354',32,-1,-1,32,'06123',3,2018,1,2018,87,'SAPS170004','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2303,'A3290',35,-1,-1,35,'06123',3,2018,1,2018,98,'SAPS03000R','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2304,'A1114',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPC00101P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2305,'A19',41,-1,-1,41,'06123',3,2018,1,2018,98,'NAPS160003','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2307,'A905',35,-1,-1,35,'06123',3,2018,1,2018,95,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2308,'A805',35,-1,-1,35,'06123',3,2018,1,2018,100,'NAPS24000P','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2309,'A3850',32,-1,-1,32,'06123',3,2018,1,2018,80,'SAIS00100B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2310,'A4651',23,-1,-1,23,'06123',3,2018,1,2018,90,'SAPS09000C','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2311,'A1819',26,-1,-1,26,'06123',3,2018,1,2018,80,'SAPS01000G','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2312,'A2598',8,-1,-1,8,'06123',3,2018,1,2018,75,'SAPS10000T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2313,'A760',35,-1,-1,35,'06123',3,2018,1,2018,89,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2314,'A854',35,-1,-1,35,'06123',3,2018,1,2018,89,'SAPS02401E','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2315,'A4391',17,-1,-1,17,'06123',3,2018,1,2018,86,'SAPSX00078','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',0,1
2316,'A3748',32,-1,-1,32,'06123',3,2018,1,2018,96,'SAPS020006','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2317,'A749',17,-1,-1,17,'06123',3,2018,1,2018,100,'AVVC01000E','Classica',0,0,0,0,'Attivo','Immatricolazione',0,2
2318,'A4363',17,-1,-1,17,'06123',3,2018,1,2018,84,'AVPS06000B','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2319,'A1975',26,-1,-1,26,'06123',3,2018,1,2018,82,'SAPS06000L','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2320,'A4546',26,-1,-1,26,'06123',3,2018,1,2018,94,'SAPS020006','Liceo-Europeo',0,0,0,0,'Attivo','Immatricolazione',0,1
2321,'A28',11,-1,-1,11,'06123',3,2018,1,2017,92,'NAPS03901T','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2323,'A1655',32,-1,-1,32,'06123',3,2018,1,2018,88,'AVIS014008','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2324,'A3658',35,-1,-1,35,'06123',3,2018,1,2018,90,'AVTL02802X','Geometra',0,0,0,0,'Attivo','Immatricolazione',0,2
2325,'A2706',35,-1,-1,35,'06123',3,2018,1,2018,100,'SAPS15000V','Scientifica',0,0,0,0,'Attivo','Immatricolazione',0,3
2326,'A3047',11,-1,-1,11,'06123',3,2018,1,2018,82,'SATF04000D','Tecnico',0,0,0,0,'Attivo','Immatricolazione',0,2
