"Tipo_Maturita, Voto_Diploma, CFU_Primo"
"[2, 96, 1048, 0]"
"[3, 63, 1015, 2]"
"[3, 94, 1042, 0]"
"[3, 86, 1021, 0]"
"[3, 84, 1042, 2]"
"[3, 91, 1042, 2]"
"[2, 100, 1054, 0]"
"[2, 83, 1030, 1]"
"[3, 78, 1048, 3]"
"[2, 78, 1024, 2]"
"[3, 89, 1042, 2]"
"[3, 100, 1054, 0]"
"[2, 65, 1036, 2]"
"[3, 68, 1030, 2]"
"[2, 81, 1036, 1]"
"[3, 74, 1042, 2]"
"[3, 86, 1030, 2]"
"[2, 86, 1036, 0]"
"[3, 100, 1063, 1]"
"[2, 100, 1042, 1]"
"[3, 82, 1018, 2]"
"[3, 100, 1048, 0]"
"[2, 75, 1009, 1]"
"[3, 90, 1036, 2]"
"[3, 80, 1024, 2]"
"[3, 100, 1030, 2]"
"[1, 73, 1006, 0]"
"[3, 96, 1036, 1]"
"[2, 67, 1042, 2]"
"[3, 100, 1048, 1]"
"[2, 70, 1009, 2]"
"[3, 64, 1015, 2]"
"[3, 82, 1048, 1]"
"[3, 80, 1042, 2]"
"[1, 60, 1024, 2]"
"[3, 70, 1021, 2]"
